"","year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"1",1982,0.0336806694878357,0.0742035678487429,0.190145933641342,0.33268663020912,0.499860173437051,0.887773710058644,1.15960044626427,1.32560054235498,1.40241161148435,1.57344928013216,1.91596990084562,1.83328215165368,2.1098528735863,1.53039582626953,2.66155176669911
"2",1983,0.0266167165294502,0.0827238043458263,0.216537867920216,0.329159605111984,0.497642157782256,0.704150835260477,0.854813868944007,1.33805367017575,1.57845177821747,1.70142360753452,1.82205075351906,1.62241315555163,1.90067994006392,2.4272447557044,1.98449374490176
"3",1984,0.0142623286396961,0.0856979079141513,0.215739985783823,0.294242176585682,0.418088411561308,0.569366316215657,0.925752496597862,1.15617897051151,1.41827070465942,1.51799335502926,2.05269128331738,1.81616636382447,1.74716752125875,1.85545112605959,2.1087848520751
"4",1985,0.0393904199794672,0.0705511736607857,0.215781810117373,0.369075991460718,0.499803825818144,0.762142150487212,0.868450620920401,1.17429645146127,1.75730285774582,1.3392297935813,1.84763626866905,2.03263449075312,2.26866306702841,1.59990749922341,2.19879832623745
"5",1986,0.0212054628005597,0.0839957943811858,0.172534659182425,0.322511314328342,0.432242223448105,0.616678719872194,0.78669822541101,0.932107297830411,1.18406692608991,1.50930163524758,1.32547807476788,1.80224478790856,2.16413659110954,2.26025798193219,NA
"6",1987,0.0228412501885678,0.117268857617271,0.263488794498469,0.346238684953441,0.439379860586986,0.574822644755522,0.703620637896952,0.850497136819096,1.03390384243274,1.19816355011844,1.70501745911537,1.60844381812593,1.97517488757014,2.2195176780538,1.99989706227461
"7",1988,0.0220253610736585,0.12974739116251,0.259711812855833,0.339190896396171,0.452343930219211,0.489013586051493,0.602654214596743,0.842639182240979,0.974048264247317,1.06727410820482,1.28479273190677,1.22333409083043,1.82769298657496,1.08382993604627,1.55757180932729
"8",1989,0.0266420437158301,0.0805936749078774,0.173423415497102,0.281430377421969,0.341262409061723,0.547536646131147,0.644346729995487,0.936754030085034,1.00240202684418,1.05882325226369,1.07116463245616,1.11183449475856,1.33835460136981,1.29440918713808,1.08291421615741
"9",1990,0.0415439348884936,0.101000263419351,0.19135133109069,0.41410844056133,0.495719337883878,0.510086075402964,0.641517132752967,0.727161033116354,1.01741553541272,0.980882047131488,1.36151365368097,1.15938780446588,1.0764345432191,1.55676095741238,1.59222793669369
"10",1991,0.0293521613898619,0.159433954708027,0.220328326666844,0.34152292880463,0.601787995662001,0.631859291676799,0.740158091540416,0.843823026026898,1.02915510140082,1.13646039496397,1.3695796685367,1.55350442312456,1.34623961751452,1.81813546134491,1.83532374086885
"11",1992,0.0296987063574544,0.134823866185689,0.249181003861457,0.422933945681534,0.525498232447075,0.584712469643022,0.736758007675225,0.976220669848854,0.982118964269854,1.02116519243045,1.1247207835786,1.38068373964486,1.57795394086977,1.6493291289674,1.9481856735956
"12",1993,0.0214588295229083,0.0984794988776617,0.259787141266164,0.3934179906344,0.481400799830534,0.581337791796477,0.670139909626898,0.815141373660211,1.0582600661658,1.03776903790501,1.22030154922861,1.31642748479748,1.3364704091236,1.60670390226326,1.60854353989307
"13",1994,0.0218806641440722,0.109847594065626,0.231360209415665,0.403055371625403,0.539097791848084,0.673157868892293,0.670228135254248,0.998810491414642,1.21610905761166,1.15126334581212,1.26108307321666,1.35716467453415,1.4704059730108,1.55441328136963,1.7096367452878
"14",1995,0.0171883990557427,0.120712816177986,0.180093349938296,0.367471147600803,0.490591312221841,0.670708329019535,0.642319854260596,0.777977338828965,0.923075247820633,1.29848429292671,1.30526643669406,1.36547773163652,1.42343460537646,1.42189149528198,1.74761157676878
"15",1996,0.0219802055811935,0.104881588716564,0.149447427291371,0.359537441797242,0.470593877417128,0.559168636826741,0.776458702676882,0.836604048871141,1.02521560693461,1.08716933615992,1.34872162209436,1.4518117419105,1.74422970431765,1.65747516293442,1.87641500676238
"16",1997,0.0205078391734085,0.0958803660893159,0.206456678803853,0.299996635799819,0.366388738358697,0.50312725362533,0.669698456169112,0.816235148597097,1.01793307863814,1.0864451411988,1.28119626016811,1.55682982557909,1.42356212017651,1.62076769169619,1.72458918374262
"17",1998,0.0193428581685896,0.0829696025377806,0.220297305404421,0.325296421016163,0.45962442870707,0.507272170313297,0.786124945127367,0.93916241037826,1.09671748121366,1.34001723301369,1.62147950033347,1.49006772974614,1.46863266028155,1.83963987566626,1.95064191652994
"18",1999,0.019084951556683,0.098003803382864,0.230636404527106,0.341680454062462,0.400192803351402,0.472840056000871,0.691532613200653,0.807264396424549,1.04175254907617,1.08191670276204,1.2914527306516,1.31917216871309,1.75870015843374,1.68555734470736,1.9611405858969
"19",2001,0.0199296945880711,0.0926145859830555,0.202663127637968,0.35515733410554,0.61028212247862,0.711954987069126,0.751173382304406,1.01892307702832,0.994247557881263,1.05904407376929,1.3407079036734,1.59970768169895,1.56494591422312,1.71631376868013,1.91691666452537
"20",2002,0.0236381886282561,0.0996553306511154,0.262145948747594,0.384181747606126,0.487195249689987,0.686502590470265,0.714604066362579,0.933582315285707,1.0110281434604,1.03998769902164,0.959285730790549,1.03816777994001,1.40805836630918,1.63260606201629,2.12428401367146
"21",2003,0.0312995290251509,0.102976659520614,0.299539278176478,0.418176930783436,0.620489435185407,0.678931956573491,0.858550938368717,0.793652547320415,1.18834080748754,1.2991873824683,1.20107251321531,1.18271683881952,1.17056178297492,1.47733589706132,1.82927236760333
"22",2004,0.0316639510504414,0.107818862651048,0.298670582469616,0.503794081688228,0.606095637140045,0.702709815008096,0.844481143570722,0.933633180752635,1.05094080737306,1.05925643731815,1.17166732492398,1.3453642063909,1.40893997293317,2.21610178498163,1.68003998594223
"23",2005,0.0319577652768779,0.0854695373489341,0.225401217009575,0.37409562204736,0.46211243951293,0.676156524882031,0.868929090901606,0.894677135966833,1.01108557001559,1.24685793013149,1.45446853801805,1.30911149013555,1.44636425650249,1.53610257942384,1.72601775745693
"24",2006,0.0089598057628893,0.0882354442995218,0.20278893440221,0.420953595744074,0.578920760856364,0.670810008870111,0.816878584059396,0.855904474570146,1.06077267379571,1.1688277674267,1.35230637246598,1.28780731860551,1.4726983535629,1.43632424777155,1.70628121497845
"25",2007,0.0134941601653862,0.10413503529782,0.28467254360825,0.487240354610142,0.630081547480502,0.807444808309642,0.922043832787799,1.09918759464466,1.08743306600175,1.35151663891783,1.33827650206922,1.30858252714872,1.66788238559764,1.74559466507898,1.44826626661367
"26",2008,0.0165558295537197,0.0474905827872956,0.321816913276568,0.498254324789091,0.595537159205456,0.720135059913241,0.835169169933506,1.01824711959252,1.01131978376754,1.22224100449784,1.64755321906504,1.43402418160727,1.66829574111865,1.78086249726768,1.80766652851347
"27",2009,0.0129149084804433,0.070878051079145,0.258746590809146,0.512372367251483,0.661897694079731,0.823135016151324,1.00315754298297,1.09117736452401,1.17551403464778,1.40947431920917,1.49436130692267,1.54182198864415,1.92600708240157,2.09572003313029,2.32779355727005
"28",2010,0.0217806220484337,0.0567648289445034,0.26256179587877,0.494440671129049,0.641976850878501,0.82378178644107,1.1019180921975,1.14476407808585,1.21382713612709,1.36816083196026,1.43189378343891,1.53637170338429,1.8605196061691,1.87889916295394,2.53698326006803
"29",2011,0.0161756549010844,0.0853333644729445,0.211500379089181,0.5011576154745,0.654255362461423,0.759173279753627,0.924952152866822,1.05915988571826,1.16684481032977,1.19988260794589,1.34174697059225,1.45168161651715,1.50445883811086,1.64860465518216,1.98032052367653
"30",2012,0.0159457459388372,0.091933588353101,0.245848892083676,0.412858736150371,0.578497625631426,0.764961423332247,0.877672135651737,1.03636879274152,1.34069090066759,1.32601152981639,1.42641506959455,1.49104926864651,1.4707298687534,1.7877984223608,2.00305454417828
"31",2013,0.0188388076098732,0.0616742170466726,0.226909697865395,0.483636188966295,0.571059377965334,0.727944998183144,1.00420212446694,1.15394244460601,1.35160546297291,1.38645570692539,1.42717224416805,1.67392894996302,1.70059813309796,1.98797576563848,1.86501989605869
"32",2014,0.0203065704250132,0.102976807599609,0.228495122374325,0.422051489806687,0.496848283794519,0.681521109284764,0.724069479621389,1.00570591231394,1.24096093293834,1.35553375217658,1.8361975253552,1.48227057150968,1.62249523975746,2.01700467066148,2.00053159197896
"33",2015,0.0201743301740134,0.0840724734211079,0.352727581579671,0.436665976779626,0.561418959708771,0.655046847118247,0.724994047045486,0.85718514571683,1.09957971405433,1.23322911289741,1.51796387598688,1.6971441129928,1.35828555564502,1.39993581800835,1.5705880527944
"34",2016,0.0209579725000326,0.0817774709069568,0.283158432048044,0.529878141792491,0.570491596756855,0.680725881561232,0.763001204449562,0.790123530765845,0.911553629028475,0.978525546712282,1.25516567128908,1.92685834632796,1.16205805732382,1.402,1.39822848782518
"35",2017,0.0283728745037804,0.0803256924881197,0.209719296466647,0.480221549241354,0.612709599765493,0.652448421390585,0.750554399045399,0.784285096344226,0.922083492911549,0.922110436910113,1.03527859186097,0.877618338841527,1.355,1.02,1.83689154611467
"36",2018,0.0260703007228576,0.0925191660246503,0.197549428560772,0.40380185202744,0.570214874837087,0.658619851397683,0.763593605211395,0.762849942838433,0.846528169921581,0.893097318380423,0.84933259190277,0.856682881372914,NA,NA,1.37241992972814
"37",2019,0.0220723662926058,0.111460028068133,0.288974193951023,0.443683906247453,0.602668723590668,0.692430218027144,0.796201076560623,0.889164598235535,0.888262540268679,1.01437390044267,0.954953265979919,1.03544854261761,1.09219318102358,1.12,NA
